Version,Domain,Topic,Level,#,Requirement,Description,Gitbook link,,,Assessment,Issue Keys,Proposed Assessment,Source,Description (e.g. how),Comment / Precision,Workload,Delay
2026,Data,Data Quality,2,DAT-QUA-#20,Data Quality,I define the data quality rules for the critical data owned by my digital product and for the business critical data in input of the digital product,DAT-QUA-#20,,,,,,,,,,
2026,Data,Data Quality,3,DAT-QUA-#30,Data Quality,I implement the data quality rules and metrics for critical data owned by my digital product and also for business critical data in input of my product and I create incidents,DAT-QUA-#30,,,,,,,,,,
2026,Data,Data Quality,4,DAT-QUA-#40,Data Quality,I implement the action plan to improve the problems. I have a communication to inform the data consumers,DAT-QUA-#40,,,,,,,,,,
2026,Data Compliance,Collect and use of personal data,2,DCO-CAU-#10,Collect point identification,I've identified collect point personal data collected and associated risks on my digital product,DCO-CAU-#10,,,,,,,,,,
2026,Data Compliance,Collect and use of personal data,3,DCO-CAU-#20,Collect point minimization,I have implemented technical & organizational means to minimize the collection of personal data with my digital product,DCO-CAU-#20,,,,,,,,,,
2026,Data Compliance,Collect and use of personal data,4,DCO-CAU-#30,Data accuracy,I have put in place technical & organizational means enabling me to keep my personal data accurate overtime,DCO-CAU-#30,,,,,,,,,,
2026,Data Compliance,Data retention management,2,DCO-DRM-#10,Manual deletion,My digital component manually purge personal data when the retention period is reached,DCO-DRM-#10,,,,,,,,,,
2026,Data Compliance,Data retention management,3,DCO-DRM-#20,Automatic deletion,For each BU my digital component allows me to set retention periods adapted to data typologies and purge automatically,DCO-DRM-#20,,,,,,,,,,
2026,Data Compliance,Data retention management,4,DCO-DRM-#30,Automatic purge,I automatically check the quality of the purges carried out in the digital product,DCO-DRM-#30,,,,,,,,,,
2026,Data Compliance,People's choice management,2,DCO-PCM-#10,Consent collect,My product allows me to collect consent in a compliant manner (CMP no pre tick-box opt-in double opt-in),DCO-PCM-#10,,,,,,,,,,
2026,Data Compliance,People's choice management,3,DCO-PCM-#20,Processing refusal,My product allow me to manage user's opposition to the processing of their personal data,DCO-PCM-#20,,,,,,,,,,
2026,Data Compliance,People's choice management,4,DCO-PCM-#30,Consent traceability,My digital component allows me to log and record actions related to my users' choices including the time date and source of the action (shop ID user ID admin ID etc.).,DCO-PCM-#30,,,,,,,,,,
2026,Data Compliance,People's information,2,DCO-PIN-#10,Privacy information,For each BU when applicable my digital component has: a Privacy policy a Cookies policy and CMP App Store information,DCO-PIN-#10,,,,,,,,,,
2026,Data Compliance,People's information,3,DCO-PIN-#20,Usage information,My digital product provide an information on all the forms used to collect personal data,DCO-PIN-#20,,,,,,,,,,
2026,Data Compliance,People's information,4,DCO-PIN-#30,Information consistency,I ensure that the information I provide is kept up to date (versioning available),DCO-PIN-#30,,,,,,,,,,
2026,Data Compliance,People's rights,2,DCO-PRI-#10,Manual right request processing,My product enables me to respond to people's rights requests manually by deleting anonymising and extracting data,DCO-PRI-#10,,,,,,,,,,
2026,Data Compliance,People's rights,3,DCO-PRI-#20,Automatic right request processing,My component allows me to answer to people's rights requests automatically by deleting anonymising and extracting data,DCO-PRI-#20,,,,,,,,,,
2026,Data Compliance,People's rights,4,DCO-PRI-#30,Other right request,My component ensures data portability and allows data processing to be limited,DCO-PRI-#30,,,,,,,,,,
2026,Data Compliance,Personal data in non-prod environments,2,DCO-DNP-#10,Non-production data identification,I have identified technical & organizational measures to strictly limit process of personal data (anonymization sample data fake data) on all environments (dev uat preprod),DCO-DNP-#10,,,,,,,,,,
2026,Data Compliance,Personal data in non-prod environments,3,DCO-DNP-#20,Non-production data implementation,I have implemented technical & organizational measures to strictly limit process of personal data (anonymization sample data fake data) on all environments (dev uat preprod),DCO-DNP-#20,,,,,,,,,,
2026,Data Compliance,Personal data in non-prod environments,4,DCO-DNP-#30,Non-production proof,I am able to demonstrate the efficiency of the implemented measure,DCO-DNP-#30,,,,,,,,,,
2026,Dev Factory,Continuous Delivery,2,DFA-CDL-#10,Artifact Management,Artifacts are stored in Adeo artefact registry,DFA-CDL-#10,,,,,,,,,,
2026,Dev Factory,Continuous Delivery,3,DFA-CDL-#20,Tagged Version,My releases uses tagged version which comply with Adeo policy,DFA-CDL-#20,,,,,,,,,,
2026,Dev Factory,Continuous Delivery,4,DFA-CDL-#30,Release automation,My releases are automated,DFA-CDL-#30,,,,,,,,,,
2026,Dev Factory,Continuous Delivery,5,DFA-CDL-#40,Pre-release stage,My release cycle goes through pre-release stage,DFA-CDL-#40,,,,,,,,,,
2026,Dev Factory,Continuous Delivery,6,DFA-CDL-#50,Release cycle automation,My release cycle is automated,DFA-CDL-#50,,,,,,,,,,
2026,Dev Factory,Continuous Deployment,2,DFA-CDP-#10,Manual and documented process,I can manually deploy my package following a documented process,DFA-CDP-#10,,,,,,,,,,
2026,Dev Factory,Continuous Deployment,3,DFA-CDP-#20,Deploy process automation,My packages are automatically deployed,DFA-CDP-#20,,,,,,,,,,
2026,Dev Factory,Continuous Deployment,4,DFA-CDP-#30,Rollback automation,My packages are automatically rollback,DFA-CDP-#30,,,,,,,,,,
2026,Dev Factory,Continuous Deployment,5,DFA-CDP-#40,Zero Downtime,My package deployment ensures zero downtime,DFA-CDP-#40,,,,,,,,,,
2026,Dev Factory,Continuous Deployment,6,DFA-CDP-#50,Progressive deployment,My package uses progressive deployment strategy,DFA-CDP-#50,,,,,,,,,,
2026,Dev Factory,Continuous Integration,2,DFA-CIT-#10,Source code versioning,My source code is versioned and shareable,DFA-CIT-#10,,,,,,,,,,
2026,Dev Factory,Continuous Integration,3,DFA-CIT-#20,Source code commit pattern,My source code uses gated commit pattern,DFA-CIT-#20,,,,,,,,,,
2026,Dev Factory,Continuous Integration,4,DFA-CIT-#30,Source code mainline,My source code mainline is enforced,DFA-CIT-#30,,,,,,,,,,
2026,Dev Factory,Continuous Integration,5,DFA-CIT-#40,Requirement verification,My packages requirements are checked automatically,DFA-CIT-#40,,,,,,,,,,
2026,Dev Factory,Continuous Integration,6,DFA-CIT-#50,Requirement custom environment,My packages requirements can be checked on custom environment,DFA-CIT-#50,,,,,,,,,,
2026,Operations,Change Management,2,OPS-CHM-#10A,Process skills,I understand what a change is and identify my change manager.,OPS-CHM-#10A,,,,,,,,,,
2026,Operations,Change Management,2,OPS-CHM-#10B,Process skills,I'm able to qualify changes (emergency standard normal),OPS-CHM-#10B,,,,,,,,,,
2026,Operations,Change Management,2,OPS-CHM-#11A,Traceability,I'm able to declare a change on my platform,OPS-CHM-#11A,,,,,,,,,,
2026,Operations,Change Management,2,OPS-CHM-#11B,Traceability,I'm able to declare a change in the ITSM,OPS-CHM-#11B,,,,,,,,,,
2026,Operations,Change Management,3,OPS-CHM-#20A,Process skills,I know my prerequisites based on change type,OPS-CHM-#20A,,,,,,,,,,
2026,Operations,Change Management,3,OPS-CHM-#20B,Process skills,I master impacts of  changes in my ecosystem,OPS-CHM-#20B,,,,,,,,,,
2026,Operations,Change Management,3,OPS-CHM-#21,Traceability,I'm able to update a change tick in our ITSM. I also regularly update change requests,OPS-CHM-#21,,,,,,,,,,
2026,Operations,Change Management,4,OPS-CHM-#30,Process skills,I know my change lifecycle (CAB review…),OPS-CHM-#30,,,,,,,,,,
2026,Operations,Change Management,4,OPS-CHM-#31,Traceability,All changes to a production environment are declared in the tool. All changing actions are tracked. (timeline),OPS-CHM-#31,,,,,,,,,,
2026,Operations,Change Management,5,OPS-CHM-#40,Process skills,I have deep knowledge of interaction with other process,OPS-CHM-#40,,,,,,,,,,
2026,Operations,Change Management,5,OPS-CHM-#41,Traceability,I link related tickets if necessary (change/incident),OPS-CHM-#41,,,,,,,,,,
2026,Operations,Change Management,6,OPS-CHM-#50,Process skills,I organize a continuous approach on change management,OPS-CHM-#50,,,,,,,,,,
2026,Operations,Change Management,6,OPS-CHM-#51,Traceability,I implement a global and precise view of all changes and measure impacts on objectives,OPS-CHM-#51,,,,,,,,,,
2026,Operations,FinOps,2,OPS-FIN-#10,Inform,I access and understand the complete inventory of assets used by my product,OPS-FIN-#10,,,,,,,,,,
2026,Operations,FinOps,2,OPS-FIN-#11,Optimize,I know the best and worst practices I consult the recommendations and implement corrective actions,OPS-FIN-#11,,,,,,,,,,
2026,Operations,FinOps,2,OPS-FIN-#12,Operate,I analyze and monitors overconsumption based on the help of the FinOps Team,OPS-FIN-#12,,,,,,,,,,
2026,Operations,FinOps,3,OPS-FIN-#20,Inform,I can track my consumption set up and monitor alerts,OPS-FIN-#20,,,,,,,,,,
2026,Operations,FinOps,3,OPS-FIN-#21,Optimize,I commit resources while looking at the discounts that the company benefits from,OPS-FIN-#21,,,,,,,,,,
2026,Operations,FinOps,3,OPS-FIN-#22,Operate,I continuously track consumption against projected costs and objectives,OPS-FIN-#22,,,,,,,,,,
2026,Operations,FinOps,4,OPS-FIN-#30,Inform,I set up rituals adapted to my activity to monitor the consumption and costs generated by my product,OPS-FIN-#30,,,,,,,,,,
2026,Operations,FinOps,4,OPS-FIN-#32,Optimize,100% of FinOps recommendations are useful and correctly tailored by recommendation providers,OPS-FIN-#32,,,,,,,,,,
2026,Operations,FinOps,4,OPS-FIN-#33,Operate,I know the estimated consumption of my product over a day and full month and I detect any unforeseen excess,OPS-FIN-#33,,,,,,,,,,
2026,Operations,FinOps,5,OPS-FIN-#43,Inform,I am able to predict the consumption trend for the remainder of the current year,OPS-FIN-#43,,,,,,,,,,
2026,Operations,FinOps,5,OPS-FIN-#44,Optimize,I make sure that my application is properly architectured in order to be economically efficient.,OPS-FIN-#44,,,,,,,,,,
2026,Operations,FinOps,5,OPS-FIN-#45,Operate,I segment resources in particular by implementing the asset tag policy,OPS-FIN-#45,,,,,,,,,,
2026,Operations,FinOps,6,OPS-FIN-#53,Inform,I am able to correctly estimate the consumption of the upcoming year taking into account future events and their impacts,OPS-FIN-#53,,,,,,,,,,
2026,Operations,FinOps,6,OPS-FIN-#54,Optimize,I have a decommissioning process,OPS-FIN-#54,,,,,,,,,,
2026,Operations,FinOps,6,OPS-FIN-#55,Operate,100% of the finops recommendations within the dashboard are considered. (0 Finops recommendations in Active status 100% in Dismiss or Succeed status),OPS-FIN-#55,,,,,,,,,,
2026,Operations,Hosting,2,OPS-HOS-#10,Cloud Usage,My product is deployed in the cloud (GCP) using GTDP products,OPS-HOS-#10,,,,,,,,,,
2026,Operations,Hosting,2,OPS-HOS-#11,Databases,My product is deployed in public cloud using DBAPI partners,OPS-HOS-#11,,,,,,,,,,
2026,Operations,Hosting,2,OPS-HOS-#12,Containers,I study the containerization of my product,OPS-HOS-#12,,,,,,,,,,
2026,Operations,Hosting,3,OPS-HOS-#20,Cloud Usage,My application is designed for cloud hosting (microservices),OPS-HOS-#20,,,,,,,,,,
2026,Operations,Hosting,3,OPS-HOS-#21,Databases,I apply DBAPI recommendations in my day to day operations,OPS-HOS-#21,,,,,,,,,,
2026,Operations,Hosting,3,OPS-HOS-#22,Containers,My application is containerized and respect the Cloud Containers best practices,OPS-HOS-#22,,,,,,,,,,
2026,Operations,Hosting,4,OPS-HOS-#30,Cloud Usage,My product uses only approved technologies and can be deployed in different regions,OPS-HOS-#30,,,,,,,,,,
2026,Operations,Hosting,4,OPS-HOS-#31,Databases,My product has its DB configured in Active/Standby mode on 2 different regions (if applicable),OPS-HOS-#31,,,,,,,,,,
2026,Operations,Hosting,4,OPS-HOS-#32,Containers,My application is deployed on multiple clusters in Active/Standby mode. I tweak my application in Kubernetes,OPS-HOS-#32,,,,,,,,,,
2026,Operations,Hosting,5,OPS-HOS-#40,Cloud Usage,My product is deployed on several regions: I'm not impacted if a region is down,OPS-HOS-#40,,,,,,,,,,
2026,Operations,Hosting,5,OPS-HOS-#41,Databases,My product has its DB configured in Active/Active mode on 2 different regions (if applicable),OPS-HOS-#41,,,,,,,,,,
2026,Operations,Hosting,5,OPS-HOS-#42,Containers,My application is deployed on multiple clusters in Active/Active mode. My application is respecting Kubernetes best practices,OPS-HOS-#42,,,,,,,,,,
2026,Operations,Hosting,6,OPS-HOS-#50,Cloud Usage,My product is deployed on 2 active cloud providers,OPS-HOS-#50,,,,,,,,,,
2026,Operations,Hosting,6,OPS-HOS-#51,Databases,My product have its DB which is available on 2 cloud clouders (if applicable),OPS-HOS-#51,,,,,,,,,,
2026,Operations,Hosting,6,OPS-HOS-#52,Containers,My application is deployed in Active/Active mode on 2 cloud providers,OPS-HOS-#52,,,,,,,,,,
2026,Operations,Incident Management,2,OPS-INC-#10A,Process skills,I understand what is an incident or a problem. My incident managers are known,OPS-INC-#10A,,,,,,,,,,
2026,Operations,Incident Management,2,OPS-INC-#10B,Process skills,I'm able to qualify incidents,OPS-INC-#10B,,,,,,,,,,
2026,Operations,Incident Management,2,OPS-INC-#11A,Traceability,I'm able to declare a new incident on my platform,OPS-INC-#11A,,,,,,,,,,
2026,Operations,Incident Management,2,OPS-INC-#11B,Traceability,I'm able to declare an incident in our ITSM,OPS-INC-#11B,,,,,,,,,,
2026,Operations,Incident Management,2,OPS-INC-#12A,Support chain,I've got my product referenced in Tangram,OPS-INC-#12A,,,,,,,,,,
2026,Operations,Incident Management,2,OPS-INC-#12B,Support chain,I've set at least one support team in my ITSM for my product,OPS-INC-#12B,,,,,,,,,,
2026,Operations,Incident Management,3,OPS-INC-#20A,Process skills,I know the escalation process,OPS-INC-#20A,,,,,,,,,,
2026,Operations,Incident Management,3,OPS-INC-#20B,Process skills,I know the lifecycle and status of incidents,OPS-INC-#20B,,,,,,,,,,
2026,Operations,Incident Management,3,OPS-INC-#21,Traceability,I'm able to act and intervene on an incident in our ITSM. I regularly update incident tickets,OPS-INC-#21,,,,,,,,,,
2026,Operations,Incident Management,3,OPS-INC-#22,Support chain,I define and implement default escalation groups for my product in ITSM,OPS-INC-#22,,,,,,,,,,
2026,Operations,Incident Management,4,OPS-INC-#30,Process skills,I master interactions with other processes,OPS-INC-#30,,,,,,,,,,
2026,Operations,Incident Management,4,OPS-INC-#31,Traceability,All actions are tracked. I review my incidents before closing. (Category Impacted and Root Cause CI …),OPS-INC-#31,,,,,,,,,,
2026,Operations,Incident Management,4,OPS-INC-#32,Support chain,Through a service convention I define a support level adapted to the product criticity. I update the Security/Operation sections in tangram and validate IT Service continuity file is up to date.,OPS-INC-#32,,,,,,,,,,
2026,Operations,Incident Management,5,OPS-INC-#40,Process skills,I master impacts of  incidents in my ecosystem,OPS-INC-#40,,,,,,,,,,
2026,Operations,Incident Management,5,OPS-INC-#41,Traceability,I link related tickets when necessary,OPS-INC-#41,,,,,,,,,,
2026,Operations,Incident Management,5,OPS-INC-#42,Support chain,Based on service convention my product's critical paths are monitored and teams are immediately informed by an alert or paging system when a problem occurs.,OPS-INC-#42,,,,,,,,,,
2026,Operations,Incident Management,6,OPS-INC-#50,Process skills,I set up continuous improvement for my incident management process,OPS-INC-#50,,,,,,,,,,
2026,Operations,Incident Management,6,OPS-INC-#51,Traceability,I manage my backlog,OPS-INC-#51,,,,,,,,,,
2026,Operations,Incident Management,6,OPS-INC-#52,Support chain,I implement a Shift Left approach in my support chain through feedback loop trainings and resources for IT support teams in BUs,OPS-INC-#52,,,,,,,,,,
2026,Operations,Observability,2,OPS-OBS-#10,Observe,My services and infrastructure are monitored with metrics logs and traces,OPS-OBS-#10,,,,,,,,,,
2026,Operations,Observability,2,OPS-OBS-#11,SLO,I defined SLO Availability and Latency for each of my User Journeys,OPS-OBS-#11,,,,,,,,,,
2026,Operations,Observability,2,OPS-OBS-#12,Alerting,My Product Team is paged on incident P1 and P2. Incident not acknowledged are escalated.,OPS-OBS-#12,,,,,,,,,,
2026,Operations,Observability,3,OPS-OBS-#20,Observe,My Product Team has a complete dashboard for our services,OPS-OBS-#20,,,,,,,,,,
2026,Operations,Observability,3,OPS-OBS-#21,SLO,I implemented SLO Availability and Latency for each of my User Journeys,OPS-OBS-#21,,,,,,,,,,
2026,Operations,Observability,3,OPS-OBS-#22,Alerting,My alerts generate an ITSM ticket in the relevant group,OPS-OBS-#22,,,,,,,,,,
2026,Operations,Observability,4,OPS-OBS-#30,Observe,My observability data is compliant in terms of naming and tagging,OPS-OBS-#30,,,,,,,,,,
2026,Operations,Observability,4,OPS-OBS-#31,SLO,I have rituals to review/update my SLO with my users my dependencies and my team,OPS-OBS-#31,,,,,,,,,,
2026,Operations,Observability,4,OPS-OBS-#32,Alerting,My Product Team is paged on Burn Rate elevation for CUJ related SLOs,OPS-OBS-#32,,,,,,,,,,
2026,Operations,Observability,5,OPS-OBS-#40,Observe,My Product Team improved their observability in an end-to-end and business approach,OPS-OBS-#40,,,,,,,,,,
2026,Operations,Observability,5,OPS-OBS-#41,SLO,My Product Team follows the SRE approach to deployments,OPS-OBS-#41,,,,,,,,,,
2026,Operations,Observability,5,OPS-OBS-#42,Alerting,My Product impacts relevant component in StatusPage on incident,OPS-OBS-#42,,,,,,,,,,
2026,Operations,Observability,6,OPS-OBS-#50,Observe,I observe my dependencies as listed in the CUJ initiative and complementary business monitoring,OPS-OBS-#50,,,,,,,,,,
2026,Operations,Observability,6,OPS-OBS-#51,SLO,I have Business SLO for all my user journeys,OPS-OBS-#51,,,,,,,,,,
2026,Operations,Observability,6,OPS-OBS-#52,Alerting,I have rituals to optimise alerting to avoid alert fatigue,OPS-OBS-#52,,,,,,,,,,
2026,Operations,Reliability,2,OPS-REL-#10,Service Continuity,I define my product criticity and required performances level. I list related requirements (DRP eligibility high availability performance) that must be validated by security and OPS team,OPS-REL-#10,,,,,,,,,,
2026,Operations,Reliability,3,OPS-REL-#20,Service Continuity,I define/adapt a recovery plan validated by DRP and OPS teams,OPS-REL-#20,,,,,,,,,,
2026,Operations,Reliability,3,OPS-REL-#21,Availability,I build and document my architecture and my performance tests strategy to attain my defined requirements,OPS-REL-#21,,,,,,,,,,
2026,Operations,Reliability,3,OPS-REL-#22,Data integrity,I design & implement  my backup policy and restoration process,OPS-REL-#22,,,,,,,,,,
2026,Operations,Reliability,4,OPS-REL-#30,Service Continuity,I test my recovery plan in a Non-Production environment,OPS-REL-#30,,,,,,,,,,
2026,Operations,Reliability,4,OPS-REL-#31,Availability,I execute performance tests based on strategy in an iso-prod environment and define improvement actions,OPS-REL-#31,,,,,,,,,,
2026,Operations,Reliability,4,OPS-REL-#32,Data integrity,I test my backup policy and I execute the restoration process on a planned frequency,OPS-REL-#32,,,,,,,,,,
2026,Operations,Reliability,5,OPS-REL-#40,Service Continuity,I perform an exercise by switching my Production to recovery site,OPS-REL-#40,,,,,,,,,,
2026,Operations,Reliability,5,OPS-REL-#41,Availability,I execute performance tests automatically on planned frequency integrated in a continuous improvement process,OPS-REL-#41,,,,,,,,,,
2026,Operations,Reliability,5,OPS-REL-#42,Data integrity,I automate backup policy and restoration process,OPS-REL-#42,,,,,,,,,,
2026,Operations,Reliability,6,OPS-REL-#50,Service Continuity,I execute my recovery plan on a planned frequency,OPS-REL-#50,,,,,,,,,,
2026,Operations,Reliability,6,OPS-REL-#51,Availability,I deploy automatic unplanned disruptions without any impact on performance and availability,OPS-REL-#51,,,,,,,,,,
2026,Operations,Reliability,6,OPS-REL-#52,Data integrity,I'm able to detect data corruption and have associated procedures,OPS-REL-#52,,,,,,,,,,
2026,Product Management,Debt Management,2,PMG-DBT-#10,Known & Log,I know what a debt is and I have identified my main debt topics,PMG-DBT-#10,,,,,,,,,,
2026,Product Management,Debt Management,2,PMG-DBT-#12,Measure & Resorb ,I know what are digital debt KPIs,PMG-DBT-#12,,,,,,,,,,
2026,Product Management,Debt Management,3,PMG-DBT-#20,Known & Log,I have an organized debt list with all correct data & all items of my debt are identified,PMG-DBT-#20,,,,,,,,,,
2026,Product Management,Debt Management,3,PMG-DBT-#22,Measure & Resorb ,I implement and observe my debt KPIs using dedicated dashboards (Data quality KPIs),PMG-DBT-#22,,,,,,,,,,
2026,Product Management,Debt Management,4,PMG-DBT-#31,Known & Log,I can analyze my existing debt and review it on a quarterly basis.,PMG-DBT-#31,,,,,,,,,,
2026,Product Management,Debt Management,4,PMG-DBT-#32,Measure & Resorb ,I have a debt reduction action plan and I have allocated capacity,PMG-DBT-#32,,,,,,,,,,
2026,Product Management,Debt Management,5,PMG-DBT-#45,Known & Log,The quality of my debt information is perfect,PMG-DBT-#45,,,,,,,,,,
2026,Product Management,Debt Management,5,PMG-DBT-#46,Measure & Resorb ,My debt is under control below the critical threshold and decreasing,PMG-DBT-#46,,,,,,,,,,
2026,Product Management,Debt Management,6,PMG-DBT-#55,Known & Log,I can view a consolidated list of debts incurred on other products,PMG-DBT-#55,,,,,,,,,,
2026,Product Management,Debt Management,6,PMG-DBT-#56,Measure & Resorb ,I have a documented and shared strategy to reduce the debt on the other products for which I am responsible,PMG-DBT-#56,,,,,,,,,,
2026,Quality,Quality delivery,2,QUA-DEL-#10,Defect metrics,I have components tests which condition the build. I can collect and animate on Defects metrics.,QUA-DEL-#10,,,,,,,,,,
2026,Quality,Quality delivery,3,QUA-DEL-#20,Integration Quality Gates,I check that my integration tests are successful before deploying on UAT,QUA-DEL-#20,,,,,,,,,,
2026,Quality,Quality delivery,4,QUA-DEL-#30,Reliable deployments,I can deploy on UAT only if 100% of my functional acceptance tests are successful,QUA-DEL-#30,,,,,,,,,,
2026,Quality,Quality delivery,5,QUA-DEL-#40,Quality Gates,I check that Critical requirements (functional and non functional) are covered by successful tests. I deploy on UAT only if  the critical functional requirements are covered by successful tests,QUA-DEL-#40,,,,,,,,,,
2026,Quality,Quality delivery,6,QUA-DEL-#50,Continuous Testing and Delivery,I can observe that the metrics which impact the quality of the services condition the CI/CD,QUA-DEL-#50,,,,,,,,,,
2026,Quality,Quality implementation,2,QUA-IMP-#10,Component tests,I have components tests on my product,QUA-IMP-#10,,,,,,,,,,
2026,Quality,Quality implementation,3,QUA-IMP-#20,Integration tests,I test my product in integration and my product is covered by a regression Test campaign,QUA-IMP-#20,,,,,,,,,,
2026,Quality,Quality implementation,4,QUA-IMP-#30,Automated tests,I have a reliable product covered by functional automated tests. I send the Test Results to the Global Test management tool,QUA-IMP-#30,,,,,,,,,,
2026,Quality,Quality implementation,5,QUA-IMP-#40,Test automation coverage,I have 100 % of critical product requirements (functional and non functional) covered by automated tests,QUA-IMP-#40,,,,,,,,,,
2026,Quality,Quality implementation,6,QUA-IMP-#50,Acceptance Test Driven Development,I can observe in a common dashboard that the product is covered by cross-functional tests and cross-functional metrics,QUA-IMP-#50,,,,,,,,,,
2026,Quality,Quality management,2,QUA-MGT-#10,Tests definition,I define a Test plan and share it to the team. I track my defects,QUA-MGT-#10,,,,,,,,,,
2026,Quality,Quality management,3,QUA-MGT-#20,Test management definition,I define my acceptance criteria and include them in the Definition of Done,QUA-MGT-#20,,,,,,,,,,
2026,Quality,Quality management,4,QUA-MGT-#30,Functional requirements coverage,I define the Functional acceptance criteria and include them in the Definition Of Ready. I track the Test coverage of functional requirements in the global tool,QUA-MGT-#30,,,,,,,,,,
2026,Quality,Quality management,5,QUA-MGT-#40,Non functional requirements coverage and KPI,I define Non functional acceptance criteria and include them in the Definition Of Ready. I track the Test coverage of non functional requirements in the global tool,QUA-MGT-#40,,,,,,,,,,
2026,Quality,Quality management,6,QUA-MGT-#50,Excellence in Test management,I open automatically a defect when an acceptance test or a regression test fails,QUA-MGT-#50,,,,,,,,,,
2026,Security,Application Lifecycle,2,SEC-APP-#10,Vulnerability Management,I know the different scanners available to secure my application,SEC-APP-#10,,,,,,,,,,
2026,Security,Application Lifecycle,2,SEC-APP-#11,Secure Software Development,I implement good practices & controls about source code changes,SEC-APP-#11,,,,,,,,,,
2026,Security,Application Lifecycle,3,SEC-APP-#20,Vulnerability Management,I know when and how to request a pentest and I've read the documentation provided by the security team,SEC-APP-#20,,,,,,,,,,
2026,Security,Application Lifecycle,3,SEC-APP-#21,Secure Software Development,I manage my artefacts and third party components,SEC-APP-#21,,,,,,,,,,
2026,Security,Application Lifecycle,4,SEC-APP-#30,Vulnerability Management,I have identified the test criteria that enable me to ensure a good level of security for each acceptance test,SEC-APP-#30,,,,,,,,,,
2026,Security,Application Lifecycle,4,SEC-APP-#31,Secure Software Development,I enforce permissions and roles in all steps of the CI/CD,SEC-APP-#31,,,,,,,,,,
